security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-07-16 21:00:00,1.41119,1.41678,1.416,1.41058,47.020612913831265,23.78498198947071,0.010957845140343977
EUR_USD,2011-07-17 21:00:00,1.41126,1.41351,1.41126,1.40145,45.15577481358004,19.45691327237463,0.009352276112275203
EUR_USD,2011-07-18 21:00:00,1.41549,1.42174,1.41124,1.40691,46.4691892654932,14.419506788584199,0.011539820889820147
EUR_USD,2011-07-19 21:00:00,1.4215,1.42394,1.41547,1.41336,47.99126923029623,15.96009975062355,0.012637856711856094
EUR_USD,2011-07-20 21:00:00,1.4424,1.44336,1.42152,1.41393,48.12610988856626,22.876142975893618,0.016110285369484882
EUR_USD,2011-07-21 21:00:00,1.43598,1.44373,1.44247,1.43241,52.27595795237145,37.007481296758066,0.018848228295587917
EUR_USD,2011-07-22 21:00:00,1.43598,1.43598,1.43598,1.43598,53.02692669428372,49.542809642560286,0.015792582636470348
EUR_USD,2011-07-23 21:00:00,1.43873,1.43918,1.43598,1.43598,53.02692669428372,62.660587023747844,0.013274066109176252
EUR_USD,2011-07-24 21:00:00,1.43768,1.44174,1.43876,1.43252,52.175387349495026,67.11998275211404,0.011771252887340999
EUR_USD,2011-07-25 21:00:00,1.45113,1.45255,1.43765,1.43576,52.90795540470772,69.01399718485986,0.013423002309872797
EUR_USD,2011-07-26 21:00:00,1.43687,1.45361,1.4511,1.43394,52.44116866366685,68.4875126988241,0.014308401847898267
EUR_USD,2011-07-27 21:00:00,1.43337,1.44004,1.4369,1.42544,50.29722981603953,61.31611013744217,0.012666721478318613
EUR_USD,2011-07-28 21:00:00,1.4396,1.44134,1.43335,1.42297,49.68659640308449,53.26067536180096,0.013313377182654896
EUR_USD,2011-07-29 21:00:00,1.4396,1.4396,1.4396,1.4396,53.609304022571436,56.6315287951879,0.013976701746123903
EUR_USD,2011-07-30 21:00:00,1.43826,1.44103,1.4396,1.43791,53.173476144814764,64.05812637722586,0.011467361396899132
EUR_USD,2011-07-31 21:00:00,1.42501,1.44537,1.43824,1.41851,48.49199605493962,61.40194151628839,0.010665889117519312
EUR_USD,2011-08-01 21:00:00,1.42032,1.42828,1.42503,1.41516,47.741156068225514,39.4963068077634,0.01048671129401546
EUR_USD,2011-08-02 21:00:00,1.43233,1.43447,1.42028,1.41434,47.55470574820816,17.95205313792179,0.012251369035212355
EUR_USD,2011-08-03 21:00:00,1.40931,1.43726,1.4323,1.40894,46.322273005908244,3.7133191723702565,0.014385095228169897
EUR_USD,2011-08-04 21:00:00,1.428,1.42978,1.40935,1.40554,45.55332282306554,-2.2400319124699317,0.01567607618253591
